"Country","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","ISO"
"Thailand","397,558","420,334","407,339","401,296","413,366","456,357","506,754","543,977","500,275","506,050","495,692","517,013","529,386","THA"
"Timor-Leste","1,160","1,396","1,448","1,590","1,640","1,585","1,556","2,033","2,163","3,625","3,209","2,080","1,866","TLS"
"Togo","5,417","6,022","6,395","5,756","6,069","6,385","7,032","6,993","7,497","8,546","8,665","9,725","10,644","TGO"
"Tonga","427","452","441","438","421","460","485","505","512","521","553","596","646","TON"
"Trinidad and Tobago","27,147","28,561","29,474","26,841","23,624","23,831","23,883","23,478","20,889","24,223","28,341","25,037","25,634","TTO"
"Tunisia","47,311","48,681","50,273","45,779","44,360","42,167","42,687","41,905","42,494","46,813","44,596","48,540","51,331","TUN"
"Turkey","882,437","962,457","943,337","868,204","870,339","863,906","807,318","775,223","730,345","827,673","924,752","1,153,295","1,358,251","TUR"
"Turkmenistan","35,164","39,198","43,524","35,800","36,180","37,926","40,762","44,974","45,455","49,477","56,677","62,814","68,675","TKM"
"Tuvalu","39","39","39","37","41","45","48","54","53","62","54","51","56","TUV"
"Uganda","30,939","32,331","34,754","30,122","30,232","31,589","34,127","37,895","37,889","42,805","47,272","52,038","57,061","UGA"
"Ukraine","182,592","190,499","133,434","90,981","93,355","112,091","130,891","153,883","156,618","199,766","161,990","181,222","190,834","UKR"
"United Arab Emirates","392,793","409,633","424,936","381,973","381,717","403,365","440,560","433,926","357,162","422,441","511,403","522,622","552,325","ARE"
"United Kingdom","2,720,200","2,798,728","3,086,969","2,946,231","2,716,852","2,701,370","2,900,745","2,877,392","2,725,948","3,195,327","3,192,851","3,422,072","3,695,355","GBR"
"United States","16,253,950","16,880,675","17,608,125","18,295,000","18,804,900","19,612,100","20,656,525","21,539,975","21,375,275","23,725,650","26,054,600","27,811,500","29,298,025","USA"
"Uruguay","55,938","62,857","62,546","58,218","57,580","65,068","65,370","62,229","53,557","60,742","71,247","79,214","82,323","URY"
"Uzbekistan","75,322","82,688","91,307","96,960","97,325","69,703","61,318","70,171","70,127","81,170","94,317","107,518","121,352","UZB"
"Vanuatu","814","859","881","871","902","999","1,000","1,054","1,128","1,060","1,130","1,198","1,265","VUT"
"Venezuela","372,592","258,932","214,690","125,449","112,915","115,882","102,021","73,014","42,838","56,615","89,013","102,378","120,566","VEN"
"Vietnam","195,167","212,737","232,891","236,839","252,139","277,076","304,474","331,811","346,283","370,065","411,031","432,981","459,448","VNM"
"Palestine","12,208","13,516","13,990","13,972","15,405","16,128","16,277","17,134","15,532","18,109","19,166","18,635","16,017","PSE"
"Yemen","","","14,221","10,265","9,944","10,443","11,494","12,849","10,783","10,203","11,124","9,364","8,058","YEM"
"Zambia","25,502","28,042","27,145","21,245","20,965","25,874","26,311","23,309","18,138","22,096","29,164","27,578","25,303","ZMB"
"Zimbabwe","24,173","26,756","28,248","28,123","29,257","31,018","53,914","39,776","39,962","52,413","48,570","44,372","49,154","ZWE"
